timeStamp,blockNumber,blockReward
2016-10-11 03:26:16,2418301,5012184040000063000
2016-10-11 00:14:25,2417505,5002843334412082150
2016-10-10 08:27:16,2413478,5007777228837360000
2016-10-09 20:09:40,2410463,5011872657653628450
2016-10-09 19:00:42,2410164,5001437165362325000
2016-10-09 01:00:59,2405606,5011811587818979460
2016-10-06 21:21:02,2392678,5003315259518338000
2016-10-06 14:55:06,2391213,5017803544536933327
2016-10-06 12:18:10,2390551,5002331360000000000
2016-10-06 03:04:32,2388155,5021950029636876631
2016-10-05 15:27:39,2385168,5015416679617574648
2016-10-05 06:50:39,2383114,5032257309509019648
2016-10-04 12:39:46,2378627,5012318230000000000
2016-10-04 05:04:19,2376748,5028389480000000000
2016-10-03 04:15:52,2370367,5037460501219614987
2016-09-30 20:34:29,2356546,5001890000000000000
2016-09-30 04:53:21,2352532,5000855258931716000
2016-09-29 13:36:23,2348721,5028444680000000000
2016-09-28 14:52:06,2342964,5030963036243736950
2016-09-28 09:32:20,2341603,5040560529323355825
2016-09-28 03:54:22,2340163,5001736278561689000
2016-09-28 02:59:44,2339948,5019186360032052000
2016-09-27 19:52:40,2338020,5004221000000000000
2016-09-27 18:06:34,2337530,5000000000000000000
2016-09-27 02:45:07,2333705,5188218214939732420
2016-09-26 18:53:05,2331700,5231547706315805463
2016-09-26 07:55:51,2329070,5053225906191688560
2016-09-25 21:51:32,2326710,5009470490000000000
2016-09-25 17:13:49,2325445,5005175600000000000
2016-09-25 14:24:16,2324675,5006948075986606065
2016-09-25 07:14:34,2322830,5004206739021502000
2016-09-24 21:46:15,2320419,5030058185503057625
2016-09-24 15:34:54,2318961,5043935284450552884
2016-09-24 14:17:28,2318635,5042182898019183020
2016-09-24 09:01:22,2317360,5046331167371840000
2016-09-24 03:44:13,2316015,5036066176396523119
2016-09-23 23:24:07,2314930,5009176265458626900
2016-09-23 23:03:36,2314848,5006244175800548000
2016-09-23 14:44:06,2312706,5035686586989925784
2016-09-22 08:15:25,2305218,5006710246000000000
2016-09-22 07:12:53,2304949,5003876280000000000
2016-09-22 06:33:59,2304767,5003201602000000000
2016-09-22 06:26:00,2304728,5004126320000000000
2016-09-22 02:58:28,2303861,5001701000000000000
2016-09-22 02:42:36,2303789,5163032160000000000
2016-09-21 20:43:27,2302278,5003678560000000000
2016-09-20 23:08:29,2296831,5001260000000000000
2016-09-20 20:12:46,2296080,5001094000000000000
2016-09-20 05:34:54,2292392,5001260000000000000
2016-09-20 03:21:51,2291776,5001913000000000000
2016-09-18 22:54:35,2284230,5000000000000000000
2016-09-18 15:53:12,2282903,5001528300000000000
2016-09-18 06:50:56,2280609,5009290300000000000
2016-09-18 03:09:42,2279688,5002359858000000000
2016-09-18 03:07:56,2279678,5011771700000000000
2016-09-17 22:37:55,2278548,5000000000000000000
2016-09-17 20:03:50,2277912,5003939480000000000
2016-09-17 19:09:05,2277663,5001680000000000000
2016-09-17 15:10:28,2276669,5020551960000000000
2016-09-17 13:30:30,2276276,5007634960000000000
2016-09-17 04:21:14,2273966,5003498221000000000
2016-09-16 19:26:14,2271685,5002672370000000000
2016-09-16 04:12:17,2267811,5000724680000000000
2016-09-15 07:53:10,2262715,5035881563000000000
2016-09-15 00:17:49,2260820,5000000000000000000
2016-09-14 17:50:14,2259179,5000000000000000000
2016-09-14 15:11:10,2258504,5003195320000000000
2016-09-14 05:33:47,2256117,5000420000000000000
2016-09-14 02:58:12,2255423,5013637400000000000
2016-09-13 10:31:27,2251299,5016888260000000000
2016-09-13 00:59:34,2248919,5000659601127122000
2016-09-13 00:54:25,2248905,5000000000000000000
2016-09-12 23:49:25,2248608,5000420000000000000
2016-09-12 19:40:13,2247555,5000000000000000000
2016-09-12 14:35:12,2246236,5000000000000000000
2016-09-12 08:13:19,2244635,5006190085643021000
2016-09-12 02:18:36,2243162,5000000000000000000
2016-09-11 10:57:09,2239286,5021260000000000000
2016-09-11 03:04:50,2237280,5007152200000000000
2016-09-09 11:36:21,2227309,5000000000000000000
2016-09-09 04:16:10,2225453,5000000000000000000
2016-09-09 01:44:33,2224847,5000000000000000000
2016-09-08 22:32:23,2224042,5013108500000000000
2016-09-08 16:48:09,2222583,5000000000000000000
2016-09-08 08:08:37,2220423,5000441000000000000
2016-09-08 06:32:36,2220026,5017509779763513576
2016-09-07 18:40:55,2217075,5000480312000000000
2016-09-07 12:53:34,2215575,5000441000000000000
2016-09-07 06:07:20,2213851,5000000000000000000
2016-09-07 00:54:15,2212522,5000630000000000000
2016-09-06 16:49:56,2210513,5000955080000000000
2016-09-06 14:58:49,2210025,5000000000000000000
2016-09-06 13:39:23,2209715,5000000000000000000
2016-09-06 12:18:08,2209399,5000000000000000000
2016-09-06 10:24:32,2208901,5003156100000000000
2016-09-06 04:43:01,2207485,5000000000000000000
2016-09-05 17:24:40,2204633,5014612400000000000
2016-09-05 13:27:30,2203646,5000000000000000000
2016-09-05 12:49:33,2203499,5000441000000000000
2016-09-05 06:56:04,2202007,5000000000000000000
2016-09-04 08:05:55,2196184,5002842304484253750
2016-09-04 04:16:42,2195244,5001747800000000000
2016-09-03 10:40:48,2190844,5007924480000000000
2016-09-03 09:21:49,2190544,5001281000000000000
2016-09-03 04:49:54,2189418,5000000000000000000
2016-09-02 17:12:24,2186500,5005481000000000000
2016-09-02 16:24:23,2186302,5003050440000000000
2016-09-02 15:46:06,2186160,5004045580000000000
2016-09-02 15:38:59,2186136,5002693100000000000
2016-09-02 00:12:33,2182213,5174431420000000000
2016-09-01 15:52:58,2180140,5000841600000000000
2016-09-01 04:04:03,2177178,5004512942000000000
2016-08-31 22:18:56,2175747,5007563844321389568
2016-08-30 22:11:55,2169646,5000000000000000000
2016-08-30 09:56:51,2166597,5000000000000000000
2016-08-30 03:01:15,2164847,5157123900000000000
2016-08-30 01:56:51,2164571,5004369500000000000
2016-08-30 00:35:00,2164212,5156250000000000000
